Sun Dec 27 06:14:10 +0000 2015,680995067251830784,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HarunTekoez,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 04:29:46 +0000 2015,680968793309491200,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hilyebanu,@sırat köprüsü,,,"RT @emretonbil: Okunmalı!! @fikriisik 
Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/J130EWTbIV @voransoy aracılığıyla"

Sun Dec 27 04:22:21 +0000 2015,680966924927430656,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aldibiran,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 01:03:45 +0000 2015,680916946968276992,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",emretonbil,WORLD,,,"Okunmalı!! @fikriisik 
Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/J130EWTbIV @voransoy aracılığıyla"

Sun Dec 27 00:50:16 +0000 2015,680913551708520448,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yusufkoluk,İstanbul/Turkiye 🇹🇷,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 00:22:40 +0000 2015,680906609426612224,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yenicerikadir,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 00:19:41 +0000 2015,680905858490970113,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",etindurmu1,TÜRKİYE,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 23:41:57 +0000 2015,680896361261330432,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kotenok99,İZMİR,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 23:26:01 +0000 2015,680892351452200960,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dominikkongo,"Süleymaniye, İstanbul",,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 23:07:29 +0000 2015,680887688917073920,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BeyhanDagdas,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 23:05:33 +0000 2015,680887199089471488,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lPisagorl,,,,@anadoluajansi Nic.tr ye saldırıyı .tr alan tahsisi pastası için ağızlarından salyalar akan yandaş  firmalar yaptırmış olmasın ????

Sat Dec 26 23:01:02 +0000 2015,680886063393562624,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MetinKarakaya_,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 23:00:44 +0000 2015,680885987313061888,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",osmerden,"Ankara, Türkiye",,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:51:17 +0000 2015,680883608698138625,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Oktay0958,"Amsterdam,  Sivas,  Aydın ",,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:42:41 +0000 2015,680881444353380352,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bbozokluu,Yalan dunya,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:42:15 +0000 2015,680881335502639104,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",srdaydin,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:40:07 +0000 2015,680880800854847489,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",imettunc,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:39:22 +0000 2015,680880611159076868,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",koca_reis18,Türkiye,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:31:00 +0000 2015,680878505488441344,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",go1907,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 22:21:03 +0000 2015,680876002575269888,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",alizarin_q,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

